name	investment	area	industry	time	operationmode	mechanism	level	term	people	tele	schedule	overview	scope
													
观堰湖生态科技城（食品饮料产业园）	160.00亿元	湖北省	片区开发	待定	BOT	其他	工商联推介	2016年11月8日	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"		规划面积40平方公里，拟开展科技新城市政基础设施、6万平方米安置小区、2000亩观堰湖景区、6.7平方公里食品饮料产业园等项目建设。	
													
漳河新区爱飞客生态镇	72.00亿元	湖北省	片区开发	待定	BOO	特许经营	工商联推介	2016年11月8日	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"		用地面积为15895.05亩，内含7293亩航空产业用地（机场核心区、航空业务拓展区、创意体验区、科研区、主体公园区、产业拓展区），其他经营性用地5160.6亩（商务花园区、休闲度假区、公建配套区、生态疗养区、航空小镇、度假公寓等）及四条规划道路（分别是爱飞客大道、凤袁路、漳河大道、G348道路总长为21.21公里）。	
													
贵州省铜仁市大兴水利枢纽工程	14.94亿元	贵州省	水利建设	待定	BOT	匹配资源	工商联推介	2016年11月8日	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"		供水人口36.1万人，灌溉面积1.02万亩，水库年供水量5924万m3，电站装机容量0.5万kW，年发电量1651万kW·h。同时，通过向下游天生桥调节水量2803万m3解决川硐教育园区、老塘新区饮水问题。	
													
黄冈市区垃圾焚烧电厂	2.00亿元	湖北省	市政工程	待定	BOT	特许经营购买服务	工商联推介	2016年11月8日	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"		新建垃圾处理厂一座	
													
麻城经济开发区污水处理厂	2.00亿元	湖北省	市政工程	待定	BOO	特许经营	工商联推介	2016年11月8日	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"		开发区新建一座污水处理厂	
													
英山县污水处理厂	2.00亿元	湖北省	市政工程	待定	BOT	特许经营	工商联推介	2016年11月8日	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"		建设污水处理厂一座。日处理城市生活污水2万吨，处理工艺采用?DE氧化沟工艺，处理后的污水达到国家一级B排放标准。	
													
咸宁市污泥处置一期项目	0.30亿元	湖北省	市政工程	待定	BOT	股权合作	工商联推介	2016年11月8日	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"		50吨/日污泥处置的土建和设备工程。项目通过采污用改性＋深度脱水处理工艺，将含水率为80%以上污泥干化至50%以下，送至垃圾焚烧厂焚烧，达到对污泥进行无害化、减量化、资源化处置。	
													
策湖湿地公园建设项目	50.00亿元	湖北省	生态建设和环境保护	待定	BOOT	特许经营	工商联推介	2016年11月8日	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"		新建商务会展中心，景点建设，旅游码头，游客综合服务中心，科研监测中心，小型污水处理厂、垃圾处理场，改建水岸线，农田和鱼池还湿，生态清淤与港道疏浚，人工湿地建设和栖息地恢复，生态公益林种植恢复。	
													
