name,investment,area,industry,time,operationmode,mechanism,level,term,people,tele,schedule,overview,scope
萍乡市莲花县荷花博览园二期项目,3.80亿元,江西省&gt;萍乡市,旅游,政府发起,BOT或BOO,,2018年第一批传统基础设施领域省级示范推介,2018年05月07日,"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>","<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>",,主要建设旅游服务中心、绿化广场、古庙古桥修复、商业街、景区道路硬化、绿化、亮化工程、表演中心、大型停车场、游步道、污水处理系统、垃圾中转站等工程,
S448宁都城区段公路改建工程及五条县道项目,9.80亿元,江西省&gt;赣州市,交通运输,政府发起,BOT,,2018年第一批传统基础设施领域省级示范推介,2018年05月07日,"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>","<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>",,建设一级公路15.3公里，三级公路69公里,
新余市雨污分流改造及污水管网完善工程,3.60亿元,江西省&gt;新余市,市政工程,政府发起,BOT,,2018年第一批传统基础设施领域省级示范推介,2018年05月07日,"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>","<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>",,包括孔目江、袁河排放口治理，袁河截流干管修复，贯早江、廖家江治理，新建污水中途提升泵站，新建沿江路局部污水总管，改排雨水箱涵等,
景德镇古坊群（China.村）建设项目,6.1195亿元,江西省&gt;景德镇市,旅游,政府发起,BOT,,2018年第一批传统基础设施领域省级示范推介,2018年05月07日,"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>","<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>",,建设古作坊群厂房、住宿区、书院、中央游乐区、美食广场、入口建筑及物流中心共74076平方米,
“智慧九江”建设项目,6.42亿元,江西省&gt;九江市,科技,政府发起,BOT+TOT,,2018年第一批传统基础设施领域省级示范推介,2018年05月07日,"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>","<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>",,建设云计算数据中心、指挥管理中心、公共管理平台、公共服务平台、智慧环保、智慧交通、智慧城管、智慧安监、智慧教育、智慧医疗、智慧物流、智慧旅游、新工业发展等6大体系38个模块,
萍乡市安源区安源路矿旅游景区建设项目,30.00亿元,江西省&gt;萍乡市,旅游,政府发起,BOT+BOO,,2018年第一批传统基础设施领域省级示范推介,2018年05月07日,"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>","<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>",,建设游客服务中心、安源纪念馆、安源风情老街、秋收起义公园、安源煤矿生产体验区、电厂钢厂工业生态公园和安源山生态休闲拓展区等,
萍乡市湘东区产业园标准化厂房（一期）建设项目,1.90亿元,江西省&gt;萍乡市,政府基础设施,政府发起,BOT,,2018年第一批传统基础设施领域省级示范推介,2018年05月07日,"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>","<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>",,总建筑面积101582平方米，配套建设园区道路、供水、供电等基础设施,
萍乡市湘东区十三五水利建设（一期）项目,3.80亿元,江西省&gt;萍乡市,水利建设,政府发起,BOT,,2018年第一批传统基础设施领域省级示范推介,2018年05月07日,"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>","<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>",,建设碧湖水库工程、堤防工程、河床疏浚和排涝建筑物工程等,
德安高新技术产业园区丰林工业新区污水处理厂项目,1.14亿元,江西省&gt;九江市,市政工程,政府发起,BOT,,2018年第一批传统基础设施领域省级示范推介,2018年05月07日,"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>","<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>",,建设2万吨污水处理厂及1万吨中水回用工程,
昌九客专,209.40亿元,江西省&gt;南昌市,交通运输,政府发起,BOOT,,2018年第一批传统基础设施领域省级示范推介,2018年05月07日,"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>","<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>",,线路全长约142公里，时速350公里、客运专线,
